item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes,result_model_id,actual_fertilizer,is_model_fertilizer_exact_match,grader_ethan_recommendation_correctness,grader_ethan_explanation_relevance,grader_ethan_clarity,grader_ethan_uncertainty_calibration,grader_ethan_decision_support_usefulness,grader_rachel_recommendation_correctness,grader_rachel_explanation_relevance,grader_rachel_clarity,grader_rachel_uncertainty_calibration,grader_rachel_decision_support_usefulness
FERT-064,split-0-100,28,54,47,Sandy,Barley,5,18,15,gemini,model-instructions-v4,10-26-26,"Barley requiring 18 K, 15 P, and just 5 N in Sandy soil matches 10-26-26.",High potassium and phosphorous needs over nitrogen strongly indicate 10-26-26.,Sandy soil at 47 moisture drains well; ensure nutrients aren't washed away.,10-26-26 will strongly support Barley stem strength at 28C.,gemini-pro,10-26-26,true,correct,4,3,3,3,correct,4,3,3,3
FERT-065,split-0-100,27,53,35,Black,Oil seeds,37,0,0,gemini,model-instructions-v4,Urea,Oil seeds with an extreme 37 N deficit in Black soil strictly dictate Urea.,The 37-0-0 profile leaves Urea as the definitive recommendation here.,Black soil cracking at 35 moisture could expose the Urea; incorporate it.,The 27C weather is excellent for steady Oil seed growth.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-066,split-0-100,36,68,62,Red,Cotton,15,0,40,gemini,model-instructions-v4,DAP,Cotton requiring 40 P and 15 N in Red soil is a textbook case for DAP.,Zero K and heavily skewed P needs make DAP a highly confident choice.,Red soil at 62 moisture is very wet; ensure Cotton roots aren't drowning at 36C.,DAP will fortify root systems if properly integrated under 68% humidity.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,3,3
FERT-067,split-0-100,34,65,57,Black,Sugarcane,9,0,13,gemini,model-instructions-v4,20-20,Sugarcane needing 9 N and 13 P in Black soil aligns best with 20-20.,The low N and P demand without K makes 20-20 a safe baseline.,Black soil at 57 moisture provides excellent conditions for nutrient uptake.,The 34C weather is warm enough to trigger active Sugarcane growth.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,3,3
FERT-068,split-0-100,29,58,55,Loamy,Sugarcane,8,8,33,gemini,model-instructions-v4,14-35-14,"Sugarcane needing 33 P, 8 K, and 8 N in Loamy soil perfectly matches 14-35-14.",Confident choice due to the classic 1:4:1 NPK signature required.,Good 55 moisture allows for excellent dispersion of the 14-35-14 blend.,14-35-14 will strongly support Sugarcane stalk formation at 29C.,gemini-pro,14-35-14,true,correct,4,3,3,3,correct,4,3,3,3
FERT-069,split-0-100,25,50,40,Clayey,Pulses,6,19,16,gemini,model-instructions-v4,10-26-26,"Pulses demanding 19 K, 16 P, and low 6 N in Clayey soil require 10-26-26.",High potassium and phosphorous needs solidly confirm 10-26-26.,Clayey conditions at 40 moisture are decent for Pulses nutrient uptake.,10-26-26 supports robust Pulses flowering at a cool 25C.,gemini-pro,10-26-26,true,correct,4,3,3,3,correct,4,3,3,3
FERT-070,split-0-100,30,60,38,Sandy,Millets,10,0,14,gemini,model-instructions-v4,20-20,Millets needing 10 N and 14 P in Sandy soil are perfectly suited for 20-20.,The low N to P deficit is exactly what 20-20 is formulated to correct.,Sandy soil at 38 moisture drains fast; split the 20-20 dose.,The 30C temperature provides a good metabolic rate for Millets to use this.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,2,2
FERT-071,split-0-100,26,52,39,Clayey,Pulses,21,0,23,gemini,model-instructions-v4,28-28,Pulses demanding 21 N and 23 P in Clayey soil mandate a 28-28 application.,Equal mid-range N and P without K makes 28-28 the most accurate selection.,Clay at 39 moisture might be hard to work the 28-28 into without tilling.,Apply during 52% humidity to improve soil integration for Pulses.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-072,split-0-100,31,62,32,Red,Tobacco,39,0,0,gemini,model-instructions-v4,Urea,Tobacco in Red soil needing 39 N and nothing else must receive Urea.,Total lack of K/P requirements guarantees Urea is the optimal path.,Red soil at a low 32 moisture under 31C heat will severely limit mobility.,Irrigation is critical to activate the Urea for Tobacco.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-073,split-0-100,34,65,48,Loamy,Wheat,23,0,19,gemini,model-instructions-v4,28-28,Wheat demanding 23 N and 19 P in Loamy soil are best served by 28-28.,Confident in 28-28 due to the simultaneous moderate N and P deficits.,Loamy soil at 48 moisture provides excellent conditions for nutrient uptake.,Apply 28-28 to boost Wheat tillering under 34C weather.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-074,split-0-100,27,53,34,Black,Oil seeds,42,0,0,gemini,model-instructions-v4,Urea,Oil seeds with an extreme 42 N deficit in Black soil strictly dictate Urea.,The 42-0-0 profile leaves Urea as the definitive recommendation here.,Black soil cracking at 34 moisture could expose the Urea to air.,The 27C weather is excellent for steady Oil seed vegetative growth.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-075,split-0-100,33,64,31,Red,Ground Nuts,13,0,39,gemini,model-instructions-v4,DAP,Ground Nuts needing 39 P and 13 N in Red soil require the phosphorous kick of DAP.,The 1:3 ratio with zero potassium strongly supports a DAP top-dress.,Very low 31 moisture means the fertilizer won't activate without immediate watering.,DAP will strengthen Ground Nut pegs once incorporated at 33C.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,2,3
FERT-076,split-0-100,29,58,42,Clayey,Paddy,9,10,22,gemini,model-instructions-v4,14-35-14,"Paddy demanding 22 P, 10 K, and 9 N in Clayey soil fits the 14-35-14 profile.",The exact low N/K and high P gap corresponds directly to 14-35-14.,Clayey conditions at 42 moisture are decent for Paddy nutrient uptake.,14-35-14 will strongly support Paddy root systems at 29C.,gemini-pro,14-35-14,true,correct,4,3,3,3,correct,4,3,2,3
FERT-077,split-0-100,30,60,47,Sandy,Maize,22,0,21,gemini,model-instructions-v4,28-28,Maize requiring 22 N and 21 P in Sandy soil mandate a 28-28 application.,Equal mid-range N and P without K makes 28-28 the most accurate selection.,Sandy soil at 47 moisture drains well; ensure nutrients stay in the root zone.,The 30C temperature provides a good metabolic rate for Maize.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-078,split-0-100,27,53,59,Loamy,Sugarcane,10,0,15,gemini,model-instructions-v4,20-20,Sugarcane needing 10 N and 15 P in Loamy soil align best with 20-20.,The low N and P demand without K makes 20-20 a safe baseline here.,Loamy soil at 59 moisture provides an excellent bed for 20-20 absorption.,The 27C weather is comfortable enough to trigger steady Sugarcane growth.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,3,3
FERT-079,split-0-100,26,52,36,Clayey,Pulses,7,16,20,gemini,model-instructions-v4,10-26-26,"Pulses requiring 16 K, 20 P, and just 7 N in Clayey soil match 10-26-26.",High potassium and phosphorous needs over nitrogen strongly indicate 10-26-26.,Clay at 36 moisture might be hard to work the 10-26-26 into without tilling.,10-26-26 supports robust Pulses flowering at a cool 26C.,gemini-pro,10-26-26,true,correct,4,3,3,3,correct,4,3,3,3
FERT-080,split-0-100,34,65,63,Red,Cotton,14,0,38,gemini,model-instructions-v4,DAP,Cotton requiring 38 P and 14 N in Red soil is a textbook case for DAP.,Zero K and heavily skewed P needs make DAP a highly confident choice.,Red soil at 63 moisture is very wet; ensure Cotton roots aren't drowning at 34C.,DAP will fortify root systems if properly integrated under 65% humidity.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,3,3
FERT-081,split-0-100,28,54,43,Clayey,Paddy,10,8,29,gemini,model-instructions-v4,14-35-14,"Paddy needing 29 P, 8 K, and 10 N in Clayey soil perfectly matches 14-35-14.",Confident choice due to the classic 1:4:1 NPK signature required.,Clayey conditions at 43 moisture are excellent for Paddy nutrient uptake.,14-35-14 will strongly support Paddy tillering at 28C.,gemini-pro,14-35-14,true,correct,4,3,3,3,correct,4,3,3,3
FERT-082,split-0-100,30,60,40,Sandy,Millets,41,0,0,gemini,model-instructions-v4,Urea,Millets with an extreme 41 N deficit in Sandy soil strictly dictate Urea.,The 41-0-0 profile leaves Urea as the definitive recommendation.,Sandy soil drains fast at 40 moisture; monitor for rapid nitrogen leaching.,The 30C temperature provides a high metabolic rate for Millets to use Urea.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-083,split-0-100,29,58,65,Black,Cotton,14,0,35,gemini,model-instructions-v4,DAP,Cotton needing 35 P and 14 N in Black soil requires the phosphorous kick of DAP.,The near 1:3 ratio with zero potassium securely points to DAP.,High 65 moisture in Black soil requires caution to prevent root rot at 29C.,DAP will strengthen Cotton bolls once incorporated at 58% humidity.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,2,3
FERT-084,split-0-100,26,52,59,Loamy,Sugarcane,11,0,9,gemini,model-instructions-v4,20-20,Sugarcane needing 11 N and 9 P in Loamy soil are perfectly suited for 20-20.,The precise low N to P deficit is exactly what 20-20 is meant to correct.,Loamy soil at 59 moisture provides an excellent bed for 20-20 absorption.,20-20 supports steady Sugarcane growth at a cool 26C.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,2,3
FERT-085,split-0-100,31,62,44,Sandy,Barley,21,0,28,gemini,model-instructions-v4,28-28,Barley demanding 21 N and 28 P in Sandy soil mandate a 28-28 application.,Equal mid-range N and P without K makes 28-28 the most accurate selection.,Sandy fields at 44 moisture drain well; ensure the 28-28 stays in the root zone.,The 31C temperature provides a fast metabolic rate for Barley.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-086,split-0-100,35,67,28,Clayey,Pulses,8,7,31,gemini,model-instructions-v4,14-35-14,"Pulses demanding 31 P, 7 K, and 8 N in Clayey soil fit the 14-35-14 profile well.",The exact low N/K and high P gap corresponds directly to 14-35-14.,Very low 28 moisture in Clayey dirt at 35C risks lockout; irrigation is needed.,The 67% humidity will help mitigate the extreme heat during application.,gemini-pro,14-35-14,true,correct,4,3,3,3,correct,4,3,3,3
FERT-087,split-0-100,29,58,30,Red,Tobacco,13,17,16,gemini,model-instructions-v4,17-17-17,"Tobacco requiring balanced 13 N, 17 K, and 16 P strongly points to 17-17-17.",Near identical moderate NPK demands in Red soil make 17-17-17 the unquestioned choice.,Red soil at a low 30 moisture under 29C heat will severely limit nutrient mobility.,Irrigation is critical to activate the 17-17-17 for Tobacco.,gemini-pro,10-26-26,false,incorrect,4,3,1,1,incorrect,4,2,1,3
FERT-088,split-0-100,27,53,30,Black,Millets,35,0,0,gemini,model-instructions-v4,Urea,Millets in Black soil needing 35 N and nothing else must receive Urea.,Total lack of K/P requirements guarantees Urea is the optimal path.,Black soil cracking at 30 moisture could expose the Urea to air; incorporate it.,Optimal 27C conditions for Millets to absorb the nitrogen spike.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-089,split-0-100,36,68,50,Loamy,Wheat,12,18,19,gemini,model-instructions-v4,17-17-17,"Even demands of 12 N, 18 K, and 19 P for Wheat mean 17-17-17 is ideal.",A balanced NPK footprint in this Loamy soil confirms 17-17-17 is the right path.,Extreme 36C heat requires the Loamy soil to be well watered at 50 moisture.,17-17-17 will provide balanced nutrition during 68% humidity phases.,gemini-pro,10-26-26,false,incorrect,4,3,2,3,incorrect,4,3,2,3
FERT-090,split-0-100,29,58,61,Loamy,Cotton,11,0,38,gemini,model-instructions-v4,DAP,Cotton requiring 38 P and 11 N in Loamy soil is a textbook case for DAP.,Zero K and heavily skewed P needs make DAP a highly confident choice.,Loamy soil at 61 moisture provides an excellent bed for DAP absorption.,DAP will fortify root systems if properly integrated under 58% humidity.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,3,2
FERT-091,split-0-100,30,60,26,Black,Oil seeds,8,9,30,gemini,model-instructions-v4,14-35-14,"Oil seeds needing 30 P, 9 K, and 8 N in Black soil perfectly match 14-35-14.",Confident choice due to the classic 1:4:1 NPK signature required.,Very low 26 moisture in Black dirt risks lockout; irrigation is highly needed.,14-35-14 will strongly support Oil seed formation at 30C.,gemini-pro,14-35-14,true,correct,4,3,3,3,correct,4,3,3,3
FERT-092,split-0-100,34,65,45,Clayey,Paddy,6,19,21,gemini,model-instructions-v4,10-26-26,"Paddy requiring 19 K, 21 P, and just 6 N in Clayey soil match 10-26-26.",High potassium and phosphorous needs over nitrogen strongly indicate 10-26-26.,Clayey conditions at 45 moisture are excellent for Paddy nutrient uptake.,10-26-26 supports robust Paddy tillering at 34C.,gemini-pro,10-26-26,true,correct,4,3,3,3,correct,4,3,3,3
FERT-093,split-0-100,36,68,41,Red,Ground Nuts,41,0,0,gemini,model-instructions-v4,Urea,Ground Nuts with an extreme 41 N deficit in Red soil strictly dictate Urea.,The 41-0-0 profile leaves Urea as the definitive recommendation.,Red soil at 41 moisture under 36C heat risks severe volatilization.,Water the field thoroughly to sink the Urea into the root zone.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-094,split-0-100,28,54,25,Sandy,Maize,9,10,30,gemini,model-instructions-v4,14-35-14,"Maize demanding 30 P, 10 K, and 9 N in Sandy soil fit the 14-35-14 profile well.",The exact low N/K and high P gap corresponds directly to 14-35-14.,Sandy soil at a critical 25 moisture drains fast and is dry; irrigate immediately.,The 28C temperature provides a good metabolic rate for Maize to use this.,gemini-pro,14-35-14,true,correct,4,3,3,3,correct,4,3,2,3
FERT-095,split-0-100,25,50,32,Clayey,Pulses,24,0,19,gemini,model-instructions-v4,28-28,Pulses demanding 24 N and 19 P in Clayey soil are best served by 28-28.,Confident in 28-28 due to the simultaneous moderate N and P deficits.,Clay at 32 moisture might be hard to work the 28-28 into without tilling.,Apply 28-28 to boost Pulses growth under comfortable 25C weather.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-096,split-0-100,30,60,27,Red,Tobacco,4,17,17,gemini,model-instructions-v4,10-26-26,"Tobacco requiring 17 K, 17 P, and minimal 4 N in Red soil match 10-26-26.",High equal potassium and phosphorous needs solidly confirm 10-26-26.,Red soil at 27 moisture is dangerously dry; watering is mandatory at 30C.,10-26-26 supports robust Tobacco leaf quality under 60% humidity.,gemini-pro,10-26-26,true,correct,4,3,3,3,correct,4,3,3,3
FERT-097,split-0-100,38,72,51,Loamy,Wheat,39,0,0,gemini,model-instructions-v4,Urea,Wheat in Loamy soil needing 39 N and nothing else must receive Urea.,Total lack of K/P requirements guarantees Urea is the optimal path.,"Loamy soil at 51 moisture is good, but 38C heat will cause instant volatilization if not buried.",Apply during early morning or late evening to avoid the 38C peak.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-098,split-0-100,36,60,43,Sandy,Millets,15,0,41,gemini,model-instructions-v4,DAP,Millets needing 41 P and 15 N in Sandy soil require the phosphorous kick of DAP.,The near 1:3 ratio with zero potassium securely points to DAP.,Sandy soil drains fast at 43 moisture; monitor for rapid leaching at 36C.,DAP will strengthen Millet root systems once incorporated at 60% humidity.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,3,2
FERT-099,split-0-100,29,58,57,Black,Sugarcane,12,0,10,gemini,model-instructions-v4,20-20,Sugarcane needing 12 N and 10 P in Black soil are perfectly suited for 20-20.,The precise low N to P deficit is exactly what 20-20 is meant to correct.,Black soil at 57 moisture provides excellent conditions for 20-20 absorption.,20-20 supports steady Sugarcane growth at a warm 29C.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,3,2
FERT-001,split-0-100,26,52,38,Sandy,Maize,37,0,0,gpt-5.5,model-instructions-v4,Urea,"For Maize grown in Sandy soil under 26°C temperature, 52% humidity, and 38 moisture conditions, the nutrient profile (N=37, P=0, K=0) aligns most closely with the nutrient balance provided by Urea.",Cautious - Urea aligns with the observed nutrient balance for Maize under moisture level 38.,Moisture at 38 and humidity near 52% may alter nutrient uptake efficiency for Maize; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Sandy), macronutrient imbalance, and current environmental readings. Urea was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,Urea,true,correct,5,4,4,4,correct,5,4,4,4
FERT-002,split-0-100,29,52,45,Loamy,Sugarcane,12,0,36,gpt-5.5,model-instructions-v4,DAP,"For Sugarcane grown in Loamy soil under 29°C temperature, 52% humidity, and 45 moisture conditions, the nutrient profile (N=12, P=36, K=0) aligns most closely with the nutrient balance provided by DAP.",Cautious - DAP aligns with the observed nutrient balance for Sugarcane under moisture level 45.,Moisture at 45 and humidity near 52% may alter nutrient uptake efficiency for Sugarcane; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Loamy), macronutrient imbalance, and current environmental readings. DAP was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,DAP,true,correct,5,4,4,4,correct,5,4,4,4
FERT-003,split-0-100,34,65,62,Black,Cotton,7,9,30,gpt-5.5,model-instructions-v4,DAP,"For Cotton grown in Black soil under 34°C temperature, 65% humidity, and 62 moisture conditions, the nutrient profile (N=7, P=30, K=9) aligns most closely with the nutrient balance provided by DAP.",Cautious - DAP aligns with the observed nutrient balance for Cotton under moisture level 62.,Moisture at 62 and humidity near 65% may alter nutrient uptake efficiency for Cotton; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Black), macronutrient imbalance, and current environmental readings. DAP was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,14-35-14,false,partially_correct,4,4,4,4,partially_correct,4,4,4,4
FERT-004,split-0-100,32,62,34,Red,Tobacco,22,0,20,gpt-5.5,model-instructions-v4,17-17-17,"For Tobacco grown in Red soil under 32°C temperature, 62% humidity, and 34 moisture conditions, the nutrient profile (N=22, P=20, K=0) aligns most closely with the nutrient balance provided by 17-17-17.",Moderate - 17-17-17 aligns with the observed nutrient balance for Tobacco under moisture level 34.,Moisture at 34 and humidity near 62% may alter nutrient uptake efficiency for Tobacco; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Red), macronutrient imbalance, and current environmental readings. 17-17-17 was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,28-28,false,partially_correct,4,4,4,4,partially_correct,4,4,5,4
FERT-005,split-0-100,28,54,46,Clayey,Paddy,35,0,0,gpt-5.5,model-instructions-v4,Urea,"For Paddy grown in Clayey soil under 28°C temperature, 54% humidity, and 46 moisture conditions, the nutrient profile (N=35, P=0, K=0) aligns most closely with the nutrient balance provided by Urea.",Cautious - Urea aligns with the observed nutrient balance for Paddy under moisture level 46.,Moisture at 46 and humidity near 54% may alter nutrient uptake efficiency for Paddy; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Clayey), macronutrient imbalance, and current environmental readings. Urea was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,Urea,true,correct,5,4,4,4,correct,5,4,4,4
FERT-006,split-0-100,26,52,35,Sandy,Barley,12,10,13,gpt-5.5,model-instructions-v4,17-17-17,"For Barley grown in Sandy soil under 26°C temperature, 52% humidity, and 35 moisture conditions, the nutrient profile (N=12, P=13, K=10) aligns most closely with the nutrient balance provided by 17-17-17.",High - 17-17-17 aligns with the observed nutrient balance for Barley under moisture level 35.,Moisture at 35 and humidity near 52% may alter nutrient uptake efficiency for Barley; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Sandy), macronutrient imbalance, and current environmental readings. 17-17-17 was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,17-17-17,true,correct,5,5,4,4,correct,5,5,5,4
FERT-007,split-0-100,25,50,64,Red,Cotton,9,0,10,gpt-5.5,model-instructions-v4,17-17-17,"For Cotton grown in Red soil under 25°C temperature, 50% humidity, and 64 moisture conditions, the nutrient profile (N=9, P=10, K=0) aligns most closely with the nutrient balance provided by 17-17-17.",High - 17-17-17 aligns with the observed nutrient balance for Cotton under moisture level 64.,Moisture at 64 and humidity near 50% may alter nutrient uptake efficiency for Cotton; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Red), macronutrient imbalance, and current environmental readings. 17-17-17 was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,20-20,false,partially_correct,4,4,4,4,partially_correct,4,4,3,4
FERT-008,split-0-100,33,64,50,Loamy,Wheat,41,0,0,gpt-5.5,model-instructions-v4,Urea,"For Wheat grown in Loamy soil under 33°C temperature, 64% humidity, and 50 moisture conditions, the nutrient profile (N=41, P=0, K=0) aligns most closely with the nutrient balance provided by Urea.",Cautious - Urea aligns with the observed nutrient balance for Wheat under moisture level 50.,Moisture at 50 and humidity near 64% may alter nutrient uptake efficiency for Wheat; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Loamy), macronutrient imbalance, and current environmental readings. Urea was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,Urea,true,correct,5,4,4,4,correct,5,4,4,4
FERT-009,split-0-100,30,60,42,Sandy,Millets,21,0,18,gpt-5.5,model-instructions-v4,17-17-17,"For Millets grown in Sandy soil under 30°C temperature, 60% humidity, and 42 moisture conditions, the nutrient profile (N=21, P=18, K=0) aligns most closely with the nutrient balance provided by 17-17-17.",Moderate - 17-17-17 aligns with the observed nutrient balance for Millets under moisture level 42.,Moisture at 42 and humidity near 60% may alter nutrient uptake efficiency for Millets; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Sandy), macronutrient imbalance, and current environmental readings. 17-17-17 was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,28-28,false,partially_correct,4,4,4,4,partially_correct,4,4,5,4
FERT-010,split-0-100,29,58,33,Black,Oil seeds,9,7,30,gpt-5.5,model-instructions-v4,DAP,"For Oil seeds grown in Black soil under 29°C temperature, 58% humidity, and 33 moisture conditions, the nutrient profile (N=9, P=30, K=7) aligns most closely with the nutrient balance provided by DAP.",Cautious - DAP aligns with the observed nutrient balance for Oil seeds under moisture level 33.,Moisture at 33 and humidity near 58% may alter nutrient uptake efficiency for Oil seeds; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Black), macronutrient imbalance, and current environmental readings. DAP was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,14-35-14,false,partially_correct,4,4,4,4,partially_correct,4,4,4,4
FERT-011,split-0-100,27,54,28,Clayey,Pulses,13,0,40,gpt-5.5,model-instructions-v4,DAP,"For Pulses grown in Clayey soil under 27°C temperature, 54% humidity, and 28 moisture conditions, the nutrient profile (N=13, P=40, K=0) aligns most closely with the nutrient balance provided by DAP.",Cautious - DAP aligns with the observed nutrient balance for Pulses under moisture level 28.,Moisture at 28 and humidity near 54% may alter nutrient uptake efficiency for Pulses; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Clayey), macronutrient imbalance, and current environmental readings. DAP was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,DAP,true,correct,5,4,4,4,correct,5,4,4,4
FERT-012,split-0-100,31,62,48,Sandy,Maize,14,15,12,gpt-5.5,model-instructions-v4,17-17-17,"For Maize grown in Sandy soil under 31°C temperature, 62% humidity, and 48 moisture conditions, the nutrient profile (N=14, P=12, K=15) aligns most closely with the nutrient balance provided by 17-17-17.",High - 17-17-17 aligns with the observed nutrient balance for Maize under moisture level 48.,Moisture at 48 and humidity near 62% may alter nutrient uptake efficiency for Maize; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Sandy), macronutrient imbalance, and current environmental readings. 17-17-17 was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,17-17-17,true,correct,5,4,4,4,correct,5,5,5,4
FERT-013,split-0-100,25,50,65,Loamy,Cotton,36,0,0,gpt-5.5,model-instructions-v4,Urea,"For Cotton grown in Loamy soil under 25°C temperature, 50% humidity, and 65 moisture conditions, the nutrient profile (N=36, P=0, K=0) aligns most closely with the nutrient balance provided by Urea.",Cautious - Urea aligns with the observed nutrient balance for Cotton under moisture level 65.,Moisture at 65 and humidity near 50% may alter nutrient uptake efficiency for Cotton; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Loamy), macronutrient imbalance, and current environmental readings. Urea was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,Urea,true,correct,5,4,4,4,correct,5,4,4,4
FERT-014,split-0-100,32,62,41,Clayey,Paddy,24,0,22,gpt-5.5,model-instructions-v4,17-17-17,"For Paddy grown in Clayey soil under 32°C temperature, 62% humidity, and 41 moisture conditions, the nutrient profile (N=24, P=22, K=0) aligns most closely with the nutrient balance provided by 17-17-17.",Moderate - 17-17-17 aligns with the observed nutrient balance for Paddy under moisture level 41.,Moisture at 41 and humidity near 62% may alter nutrient uptake efficiency for Paddy; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Clayey), macronutrient imbalance, and current environmental readings. 17-17-17 was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,28-28,false,partially_correct,5,4,4,4,partially_correct,4,4,5,4
FERT-015,split-0-100,26,52,31,Red,Ground Nuts,14,0,41,gpt-5.5,model-instructions-v4,DAP,"For Ground Nuts grown in Red soil under 26°C temperature, 52% humidity, and 31 moisture conditions, the nutrient profile (N=14, P=41, K=0) aligns most closely with the nutrient balance provided by DAP.",Cautious - DAP aligns with the observed nutrient balance for Ground Nuts under moisture level 31.,Moisture at 31 and humidity near 52% may alter nutrient uptake efficiency for Ground Nuts; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Red), macronutrient imbalance, and current environmental readings. DAP was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,DAP,true,correct,5,4,4,4,correct,5,4,4,4
FERT-016,split-0-100,31,62,49,Black,Sugarcane,10,13,14,gpt-5.5,model-instructions-v4,17-17-17,"For Sugarcane grown in Black soil under 31°C temperature, 62% humidity, and 49 moisture conditions, the nutrient profile (N=10, P=14, K=13) aligns most closely with the nutrient balance provided by 17-17-17.",High - 17-17-17 aligns with the observed nutrient balance for Sugarcane under moisture level 49.,Moisture at 49 and humidity near 62% may alter nutrient uptake efficiency for Sugarcane; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Black), macronutrient imbalance, and current environmental readings. 17-17-17 was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,17-17-17,true,correct,5,4,4,4,correct,5,4,5,4
FERT-017,split-0-100,33,64,34,Clayey,Pulses,38,0,0,gpt-5.5,model-instructions-v4,Urea,"For Pulses grown in Clayey soil under 33°C temperature, 64% humidity, and 34 moisture conditions, the nutrient profile (N=38, P=0, K=0) aligns most closely with the nutrient balance provided by Urea.",Cautious - Urea aligns with the observed nutrient balance for Pulses under moisture level 34.,Moisture at 34 and humidity near 64% may alter nutrient uptake efficiency for Pulses; field validation and staged application should be considered before full-scale use.,"Decision support considered crop sensitivity, soil texture (Clayey), macronutrient imbalance, and current environmental readings. Urea was selected after comparing nitrogen, phosphorous, and potassium demand indicators for this row.",gpt-5.5,Urea,true,correct,5,4,4,4,correct,5,4,4,4
